<div>to think</div>	觉得 -&nbsp;juéde
觉得 -&nbsp;juéde	to think
<div>rest</div>	休息 -&nbsp;xiūxi
休息 -&nbsp;xiūxi	rest
<div>(used after a verb) give it a go</div>	一下 -&nbsp;yīxià
一下 -&nbsp;yīxià	(used after a verb) give it a go
<div>small</div>	小 -&nbsp;xiǎo
小 -&nbsp;xiǎo	small
<div>teahouse</div>	茶馆 -&nbsp;cháguǎn
茶馆 -&nbsp;cháguǎn	teahouse
<div>tea</div>	茶 -&nbsp;chá
茶 -&nbsp;chá	tea
<div>to drink</div>	喝 -&nbsp;hē
喝 -&nbsp;hē	to drink
<div>a little</div>	一点儿 -&nbsp;yīdiǎnr
一点儿 -&nbsp;yīdiǎnr	a little
<div>roommate</div>	同屋 -&nbsp;tóngwū
同屋 -&nbsp;tóngwū	roommate
<div>(located) at</div>	在 -&nbsp;zài
在 -&nbsp;zài	(located) at
<div>home</div>	家 -&nbsp;jiā
<div>家 -&nbsp;jiā</div>	home
<div>car, vehicle</div>	汽车 - qìchē
汽车 - qìchē	car, vehicle
<div>(business) company</div>	公司 -&nbsp;gōngsī
公司 -&nbsp;gōngsī	(business) company
<div>to work</div>	工作 -&nbsp;gōngzuò
工作 -&nbsp;gōngzuò	to work
<div>from ...to ...</div>	从 ... 到 ... -&nbsp;cóng ...&nbsp;dào ...
从 ... 到 ... -&nbsp;cóng ...&nbsp;dào ...	from ...to ...
<div>to go to work</div>	上班 -&nbsp;shàng bān
<div>上班 -&nbsp;shàng bān</div>	to go to work
<div>weekend</div>	周末 -&nbsp;zhōumò
<div>周末 -&nbsp;zhōumò</div>	weekend
<div>normal times</div>	平时 -&nbsp;píngshí
平时 -&nbsp;píngshí	normal times
<div>school</div>	学校 -&nbsp;xuéxiào
学校 -&nbsp;xuéxiào	school
<div>dining hall</div>	食堂 -&nbsp;shítáng
食堂 -&nbsp;shítáng	dining hall
<div>when,while</div>	...的时候 - ...&nbsp;de&nbsp;shíhou
...的时候 - ...&nbsp;de&nbsp;shíhou	when,while
<div>time</div>	时候 -&nbsp;shíhou
时候 -&nbsp;shíhou	time
<div>to prepare a meal</div>	做饭 - zuò fàn
做饭 - zuò fàn	to prepare a meal
<div>dish (type of food)</div>	菜 -&nbsp;cài
菜 -&nbsp;cài	dish (type of food)
<div>chat</div>	聊天儿 -&nbsp;liáo tiānr
聊天儿 -&nbsp;liáo tiānr	chat
<div>evening meal</div>	晚饭 -&nbsp;wǎnfàn
晚饭 -&nbsp;wǎnfàn	evening meal
<div>cell phone</div>	手机 -&nbsp;shǒujī
手机 -&nbsp;shǒujī	cell phone
<div>number</div>	号码 -&nbsp;hào mǎ
号码 -&nbsp;hào mǎ	number
<div>need not</div>	不用 -&nbsp;bùyòng
不用 -&nbsp;bùyòng	need not
<div>need (mostly used in the negative)</div>	用 -&nbsp;yòng
用 -&nbsp;yòng	need (mostly used in the negative)
<div>to work</div>	干 -&nbsp;gàn
干 -&nbsp;gàn	to work
<div>dormitory</div>	宿舍 -&nbsp;sùshè
宿舍 -&nbsp;sùshè	dormitory
<div>to draw</div>	画 -&nbsp;huà
画 -&nbsp;huà	to draw
<div>picture, drawing</div>	画儿 -&nbsp;huàr
画儿 -&nbsp;huàr	picture, drawing
<div>to like</div>	喜欢 -&nbsp;xǐhuan
喜欢 -&nbsp;xǐhuan	to like
<div>Chinese painting</div>	中国画 -&nbsp;Zhōngguóhuà
中国画 -&nbsp;Zhōngguóhuà	Chinese painting
<div>same, usual</div>	一般 -&nbsp;yībān
一般 -&nbsp;yībān	same, usual
<div>to listen</div>	听 -&nbsp;tīng
听 -&nbsp;tīng	to listen
<div>music</div>	音乐 -&nbsp;yīnyuè
音乐 -&nbsp;yīnyuè	music
<div>thing</div>	东西 -&nbsp;dōngxi
东西 -&nbsp;dōngxi	thing
<div>together</div>	一块儿 -&nbsp;yīkuàir
一块儿 -&nbsp;yīkuàir	together
<div>to put in order</div>	收拾 -&nbsp;shōushi
收拾 -&nbsp;shōushi	to put in order
<div>room</div>	房间 -&nbsp;fángjiān
房间 -&nbsp;fángjiān	room
<div>term</div>	学期 -&nbsp;xuéqī
学期 -&nbsp;xuéqī	term
<div>classifier for lessons, subjects, branches of technology</div>	门 -&nbsp;mén
门 -&nbsp;mén	classifier for lessons, subjects, branches of technology
<div>interest</div>	兴趣 -&nbsp;xìngqù
兴趣 -&nbsp;xìngqù	interest
<div>subject</div>	课 -&nbsp;kè
课 -&nbsp;kè	subject
<div>regarding</div>	对 -&nbsp;duì
对 -&nbsp;duì	regarding
<div>calligraphy</div>	书法 -&nbsp;shūfǎ
书法 -&nbsp;shūfǎ	calligraphy
